Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	481            	172.6139090°E  	43.5800671°S   	0              
1              	482            	172.6138238°E  	43.5814547°S   	0              
1              	483            	172.6145619°E  	43.5854541°S   	0              
1              	484            	172.6158598°E  	43.5855139°S   	0              
1              	485            	172.6178586°E  	43.5834112°S   	0              
1              	486            	172.6206133°E  	43.5825321°S   	0              
1              	487            	172.6241294°E  	43.5819886°S   	0              
1              	488            	172.6244418°E  	43.5808794°S   	0              
1              	489            	172.6216970°E  	43.5802042°S   	0              
1              	490            	172.6185781°E  	43.5783064°S   	0              
1              	491            	172.6155401°E  	43.5757427°S   	0              
1              	492            	172.6157787°E  	43.5742446°S   	0              
1              	493            	172.6174697°E  	43.5724739°S   	0              
1              	494            	172.6194698°E  	43.5700935°S   	0              
1              	495            	172.6250524°E  	43.5686131°S   	0              
1              	496            	172.6299501°E  	43.5667417°S   	0              
1              	497            	172.6348417°E  	43.5658137°S   	0              
1              	498            	172.6365095°E  	43.5677619°S   	0              
1              	499            	172.6353436°E  	43.5712000°S   	0              
1              	500            	172.6374744°E  	43.5723725°S   	0              
1              	501            	172.6427274°E  	43.5749427°S   	0              
